ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID	SPOT_ID.1
TC1200012768.hg.1	6.61e-06	1.14e-08	17.3946364	10.59533	2.79494818	Multiple_Complex	Multiple_Complex
TC0500012523.hg.1	6.61e-06	1.14e-08	-17.3887779	10.592357	-1.78715703	Multiple_Complex	Multiple_Complex
TC0600007650.hg.1	7.48e-06	1.32e-08	-17.125423	10.457429	-2.42288498	Coding	Coding
TC0500010835.hg.1	7.50e-06	1.38e-08	-17.048732	10.417658	-2.05104518	Multiple_Complex	Multiple_Complex
TC1900009186.hg.1	7.50e-06	1.43e-08	-16.9853073	10.3846	-1.85403269	Multiple_Complex	Multiple_Complex
TC1900008824.hg.1	7.50e-06	1.44e-08	-16.9680947	10.375603	-1.70919796	Multiple_Complex	Multiple_Complex
TC0400007853.hg.1	7.50e-06	1.45e-08	16.9630752	10.372977	3.47061684	Multiple_Complex	Multiple_Complex
TC2100008385.hg.1	7.50e-06	1.46e-08	-16.9434863	10.362721	-1.5330985	Multiple_Complex	Multiple_Complex
TC1000007641.hg.1	7.61e-06	1.51e-08	-16.884188	10.331584	-1.97902293	Multiple_Complex	Multiple_Complex
TC1900007850.hg.1	7.69e-06	1.55e-08	-16.8332095	10.30471	-1.79741797	Multiple_Complex	Multiple_Complex
TC0500008229.hg.1	8.10e-06	1.67e-08	16.7071069	10.237805	1.87413139	Multiple_Complex	Multiple_Complex
TC1200007693.hg.1	8.69e-06	1.83e-08	-16.5467698	10.151851	-1.99086093	Multiple_Complex	Multiple_Complex
TC1000011368.hg.1	8.69e-06	1.85e-08	16.5233592	10.139217	2.85099569	Multiple_Complex	Multiple_Complex
TC1100008904.hg.1	9.34e-06	2.03e-08	16.3670477	10.054304	3.16803254	Multiple_Complex	Multiple_Complex
TC0100015819.hg.1	9.38e-06	2.07e-08	-16.3307067	10.034423	-1.49878914	Multiple_Complex	Multiple_Complex
TC1400010045.hg.1	9.80e-06	2.20e-08	-16.2271313	9.97747	-3.16703332	Multiple_Complex	Multiple_Complex
TC1800007895.hg.1	1.02e-05	2.39e-08	-16.0855903	9.898936	-1.37867412	Multiple_Complex	Multiple_Complex
TC1500007062.hg.1	1.02e-05	2.41e-08	16.072802	9.8918	1.62099653	Multiple_Complex	Multiple_Complex
23076565	1.02e-05	2.41e-08	16.0711284	9.890866	2.20045739		
TC1800007797.hg.1	1.07e-05	2.57e-08	-15.9611146	9.82919	-1.68264401	Multiple_Complex	Multiple_Complex
TC0600009439.hg.1	1.17e-05	2.85e-08	15.7878735	9.731042	2.28699323	Coding	Coding
TC0600010021.hg.1	1.22e-05	3.02e-08	-15.6926138	9.676533	-1.6009159	Multiple_Complex	Multiple_Complex
TC1800008781.hg.1	1.22e-05	3.05e-08	15.671868	9.66461	2.16739021	Multiple_Complex	Multiple_Complex
TC2200008425.hg.1	1.23e-05	3.12e-08	-15.6366929	9.644352	-1.30607529	Coding	Coding
TC1200011460.hg.1	1.26e-05	3.29e-08	15.5459568	9.591849	1.94562861	Multiple_Complex	Multiple_Complex
TC0800008667.hg.1	1.26e-05	3.29e-08	15.5458954	9.591814	2.40148078	Multiple_Complex	Multiple_Complex
TC1700012281.hg.1	1.28e-05	3.43e-08	15.4781664	9.55239	1.94050471	Multiple_Complex	Multiple_Complex
TC2200007382.hg.1	1.28e-05	3.44e-08	-15.4741406	9.55004	-1.62527878	Multiple_Complex	Multiple_Complex
TC1000008926.hg.1	1.34e-05	3.64e-08	15.3840452	9.497268	2.07146643	Multiple_Complex	Multiple_Complex
TC1500010006.hg.1	1.35e-05	3.73e-08	-15.3413535	9.472137	-3.19983798	Multiple_Complex	Multiple_Complex
TC1600006446.hg.1	1.36e-05	3.81e-08	-15.3088535	9.452951	-1.8027766	Multiple_Complex	Multiple_Complex
TC0200011171.hg.1	1.40e-05	3.98e-08	-15.2377371	9.410803	-1.60351769	Multiple_Complex	Multiple_Complex
TC0100015872.hg.1	1.40e-05	4.01e-08	15.2229084	9.401986	1.71168687	Multiple_Complex	Multiple_Complex
TC2100008306.hg.1	1.41e-05	4.10e-08	-15.1870464	9.380621	-1.54933191	Multiple_Complex	Multiple_Complex
TC0700006844.hg.1	1.47e-05	4.32e-08	-15.1030792	9.33037	-3.99211732	Multiple_Complex	Multiple_Complex
TC0500007154.hg.1	1.53e-05	4.57e-08	-15.0141361	9.276789	-1.96447042	Multiple_Complex	Multiple_Complex
TC1500006925.hg.1	1.57e-05	4.73e-08	-14.958447	9.243055	-3.14348687	Multiple_Complex	Multiple_Complex
TC2200008741.hg.1	1.57e-05	4.78e-08	-14.942061	9.233102	-2.11591354	Coding	Coding
TC2000009058.hg.1	1.67e-05	5.16e-08	-14.820261	9.158725	-3.55981153	Multiple_Complex	Multiple_Complex
TC0100008517.hg.1	1.71e-05	5.34e-08	14.7678194	9.126486	1.5427731	Multiple_Complex	Multiple_Complex
TC1800006437.hg.1	1.85e-05	5.86e-08	-14.6201054	9.034974	-1.20904416	Multiple_Complex	Multiple_Complex
TC0900008945.hg.1	1.94e-05	6.23e-08	-14.5266841	8.976556	-1.20079137	Multiple_Complex	Multiple_Complex
TC0200009680.hg.1	1.94e-05	6.27e-08	14.5170146	8.970485	1.7290085	Multiple_Complex	Multiple_Complex
TC0100009364.hg.1	1.99e-05	6.53e-08	-14.4536802	8.930608	-2.62922184	Multiple_Complex	Multiple_Complex
TC1100013059.hg.1	1.99e-05	6.63e-08	-14.4307821	8.916143	-1.49989646	Multiple_Complex	Multiple_Complex
TC0100018174.hg.1	1.99e-05	6.66e-08	-14.4216811	8.910386	-1.33426309	Multiple_Complex	Multiple_Complex
TC0600009327.hg.1	2.16e-05	7.35e-08	14.2709508	8.814449	2.34541192	Multiple_Complex	Multiple_Complex
TC1900007012.hg.1	2.16e-05	7.40e-08	-14.2601599	8.807537	-1.14886527	Multiple_Complex	Multiple_Complex
TC0100014988.hg.1	2.18e-05	7.54e-08	-14.2323008	8.789666	-2.60037193	Multiple_Complex	Multiple_Complex
TC2200006883.hg.1	2.22e-05	7.77e-08	-14.1861822	8.759995	-3.74630071	Multiple_Complex	Multiple_Complex
TC1300006543.hg.1	2.27e-05	8.03e-08	14.137804	8.728755	2.65220378	Multiple_Complex	Multiple_Complex
TC0900009424.hg.1	2.29e-05	8.17e-08	-14.1114829	8.711708	-3.72076148	Multiple_Complex	Multiple_Complex
TC0600007084.hg.1	2.29e-05	8.26e-08	-14.0944963	8.700688	-1.77714692	Multiple_Complex	Multiple_Complex
TC0900012024.hg.1	2.33e-05	8.47e-08	-14.0560858	8.675715	-2.58298927	Multiple_Complex	Multiple_Complex
TC1600006445.hg.1	2.50e-05	9.18e-08	-13.9353342	8.596709	-1.90320746	Multiple_Complex	Multiple_Complex
TC0700008181.hg.1	2.61e-05	9.70e-08	13.8534992	8.542734	1.78421899	Multiple_Complex	Multiple_Complex
TC1200012668.hg.1	2.72e-05	1.02e-07	-13.7788845	8.493214	-2.23705491	Multiple_Complex	Multiple_Complex
TC1500007067.hg.1	3.00e-05	1.14e-07	13.6180584	8.385468	1.54527134	Multiple_Complex	Multiple_Complex
TC1200010459.hg.1	3.00e-05	1.16e-07	-13.5905096	8.366872	-2.58501309	Multiple_Complex	Multiple_Complex
TC0100011621.hg.1	3.00e-05	1.16e-07	-13.5889748	8.365835	-3.12379145	Multiple_Complex	Multiple_Complex
TC1000009997.hg.1	3.00e-05	1.17e-07	-13.578285	8.358607	-2.69612044	Multiple_Complex	Multiple_Complex
TC0100008874.hg.1	3.01e-05	1.19e-07	13.5588391	8.345443	2.54409686	Multiple_Complex	Multiple_Complex
TC0300011979.hg.1	3.03e-05	1.21e-07	13.5240247	8.321823	2.16775461	Multiple_Complex	Multiple_Complex
TC2100008521.hg.1	3.03e-05	1.22e-07	-13.5214824	8.320096	-2.12088973	Multiple_Complex	Multiple_Complex
TC0200008627.hg.1	3.07e-05	1.24e-07	-13.4915787	8.299751	-1.34641359	Multiple_Complex	Multiple_Complex
TC0100017548.hg.1	3.33e-05	1.36e-07	-13.3615122	8.210685	-1.09340259	Multiple_Complex	Multiple_Complex
TC0800010382.hg.1	3.42e-05	1.41e-07	-13.3094181	8.174749	-2.12784624	Coding	Coding
TC0500007966.hg.1	3.48e-05	1.45e-07	-13.267261	8.145556	-1.58099086	Multiple_Complex	Multiple_Complex
TC0600006967.hg.1	3.48e-05	1.46e-07	-13.258825	8.139703	-3.22405987	Multiple_Complex	Multiple_Complex
TC1500010018.hg.1	3.57e-05	1.51e-07	-13.2114662	8.106765	-1.66883191	Multiple_Complex	Multiple_Complex
TC1800009112.hg.1	3.68e-05	1.58e-07	-13.1490154	8.063137	-1.84525337	Multiple_Complex	Multiple_Complex
TC0600012708.hg.1	3.68e-05	1.61e-07	-13.1233559	8.045147	-2.03422803	Multiple_Complex	Multiple_Complex
TC0500012470.hg.1	3.68e-05	1.61e-07	-13.1163194	8.040207	-2.76625457	Multiple_Complex	Multiple_Complex
TC0300013068.hg.1	3.68e-05	1.62e-07	-13.1102697	8.035957	-1.7158787	Multiple_Complex	Multiple_Complex
TC1800008474.hg.1	3.68e-05	1.63e-07	13.1052042	8.032397	1.24321486	Multiple_Complex	Multiple_Complex
TC0800012280.hg.1	3.68e-05	1.64e-07	-13.0956419	8.025673	-1.5208159	Multiple_Complex	Multiple_Complex
TC0100007645.hg.1	3.71e-05	1.68e-07	-13.0628517	8.002576	-2.64380758	Multiple_Complex	Multiple_Complex
TC2000008381.hg.1	3.71e-05	1.68e-07	13.0619978	8.001974	1.72579824	Multiple_Complex	Multiple_Complex
TC1800008584.hg.1	3.71e-05	1.69e-07	13.0477688	7.991931	1.18898328	Multiple_Complex	Multiple_Complex
TC1700012216.hg.1	3.77e-05	1.73e-07	-13.017137	7.970271	-1.89509818	Multiple_Complex	Multiple_Complex
TC1600008301.hg.1	3.84e-05	1.79e-07	-12.9678461	7.935303	-2.52631133	Multiple_Complex	Multiple_Complex
TC0700013082.hg.1	3.84e-05	1.82e-07	-12.9482383	7.921353	-1.1948216	Multiple_Complex	Multiple_Complex
TC0200009973.hg.1	3.84e-05	1.83e-07	-12.9431597	7.917736	-1.30307331	Multiple_Complex	Multiple_Complex
TC1800006889.hg.1	3.84e-05	1.83e-07	-12.9399276	7.915434	-1.30177108	Multiple_Complex	Multiple_Complex
TC0200012404.hg.1	3.84e-05	1.84e-07	12.9333496	7.910746	1.09379187	Multiple_Complex	Multiple_Complex
TC1100011677.hg.1	3.84e-05	1.85e-07	-12.9229926	7.903359	-2.84456596	Multiple_Complex	Multiple_Complex
TC2100007446.hg.1	4.12e-05	2.00e-07	-12.813096	7.824591	-1.31089581	Multiple_Complex	Multiple_Complex
TC0400006433.hg.1	4.12e-05	2.01e-07	12.8058077	7.819342	1.55051573	Multiple_Complex	Multiple_Complex
TC0X00011413.hg.1	4.20e-05	2.07e-07	-12.7694989	7.793144	-1.28859306	Multiple_Complex	Multiple_Complex
TC1100012949.hg.1	4.27e-05	2.14e-07	-12.7258189	7.761523	-1.30311449	Multiple_Complex	Multiple_Complex
TC2100006976.hg.1	4.27e-05	2.14e-07	-12.7239715	7.760184	-1.71268207	Multiple_Complex	Multiple_Complex
TC0300012781.hg.1	4.30e-05	2.18e-07	-12.6989107	7.741987	-1.34589916	Multiple_Complex	Multiple_Complex
TC1800008234.hg.1	4.30e-05	2.20e-07	-12.6843291	7.731382	-1.15990298	Multiple_Complex	Multiple_Complex
TC0100013028.hg.1	4.30e-05	2.20e-07	-12.6838379	7.731024	-1.36790946	Multiple_Complex	Multiple_Complex
TC0100018443.hg.1	4.30e-05	2.21e-07	-12.6763012	7.725537	-1.38954002	Multiple_Complex	Multiple_Complex
TC1800006484.hg.1	4.34e-05	2.25e-07	-12.6543476	7.709536	-1.11823316	Multiple_Complex	Multiple_Complex
TC0300010350.hg.1	4.41e-05	2.31e-07	-12.6178411	7.682861	-1.68233916	Multiple_Complex	Multiple_Complex
TC0700011560.hg.1	4.41e-05	2.32e-07	-12.611054	7.677893	-1.77782286	Coding	Coding
TC1700008920.hg.1	4.50e-05	2.38e-07	-12.5758487	7.652078	-1.91166727	Multiple_Complex	Multiple_Complex
TC0400011643.hg.1	4.77e-05	2.54e-07	12.4882073	7.587482	1.37178666	Multiple_Complex	Multiple_Complex
TC0800011634.hg.1	4.85e-05	2.60e-07	-12.4549464	7.562842	-1.54840366	Multiple_Complex	Multiple_Complex
TC0900007457.hg.1	5.01e-05	2.71e-07	-12.4012319	7.522905	-1.1599686	Multiple_Complex	Multiple_Complex
TC1600007186.hg.1	5.11e-05	2.78e-07	-12.3657186	7.496402	-1.48242385	Multiple_Complex	Multiple_Complex
TC1900008826.hg.1	5.34e-05	2.93e-07	-12.2981041	7.445721	-1.50887759	Multiple_Complex	Multiple_Complex
TC0900011148.hg.1	5.60e-05	3.09e-07	-12.226227	7.391527	-1.45352569	Multiple_Complex	Multiple_Complex
TC1700012346.hg.1	5.72e-05	3.18e-07	12.1889287	7.363274	0.98176666	Multiple_Complex	Multiple_Complex
TC1800006487.hg.1	5.76e-05	3.23e-07	-12.1676802	7.347139	-1.15548172	Multiple_Complex	Multiple_Complex
TC0900007552.hg.1	5.76e-05	3.24e-07	-12.1632427	7.343765	-1.79588557	Multiple_Complex	Multiple_Complex
TC1200008133.hg.1	5.77e-05	3.28e-07	-12.1488551	7.332819	-2.20507397	Multiple_Complex	Multiple_Complex
23076111	5.77e-05	3.33e-07	-12.1261918	7.31555	-2.09721371		
23076274	5.77e-05	3.33e-07	-12.1261918	7.31555	-2.09721371		
23076436	5.77e-05	3.33e-07	-12.1261918	7.31555	-2.09721371		
TC0600011252.hg.1	5.78e-05	3.36e-07	-12.1167659	7.308358	-1.79166278	Multiple_Complex	Multiple_Complex
TC0X00009218.hg.1	5.85e-05	3.44e-07	12.0847779	7.283907	2.34026025	Multiple_Complex	Multiple_Complex
TC2000007695.hg.1	5.85e-05	3.45e-07	-12.0818229	7.281644	-1.03237686	Multiple_Complex	Multiple_Complex
TC1400008184.hg.1	5.85e-05	3.47e-07	12.0747391	7.276219	1.75889528	Multiple_Complex	Multiple_Complex
23075643	6.01e-05	3.62e-07	-12.0162434	7.231295	-2.0991651		
23075815	6.01e-05	3.62e-07	-12.0162434	7.231295	-2.0991651		
23075967	6.01e-05	3.62e-07	-12.0162434	7.231295	-2.0991651		
TC0800009735.hg.1	6.05e-05	3.67e-07	11.9984284	7.217568	1.74419696	Multiple_Complex	Multiple_Complex
TC1300008793.hg.1	6.09e-05	3.72e-07	11.9824561	7.205244	1.7670475	Multiple_Complex	Multiple_Complex
TC1100011259.hg.1	6.10e-05	3.75e-07	-11.9734673	7.1983	-1.17042574	Multiple_Complex	Multiple_Complex
TC0100007898.hg.1	6.10e-05	3.77e-07	-11.9660322	7.192553	-1.4481833	Multiple_Complex	Multiple_Complex
TC2100006852.hg.1	6.28e-05	3.90e-07	-11.919322	7.156363	-1.07529143	Multiple_Complex	Multiple_Complex
TC1200009903.hg.1	6.53e-05	4.08e-07	11.8623262	7.112006	1.74085437	Multiple_Complex	Multiple_Complex
TC1000009920.hg.1	6.77e-05	4.26e-07	-11.8074681	7.069108	-1.52740875	NonCoding	NonCoding
TC0800008663.hg.1	6.77e-05	4.28e-07	11.8007475	7.063838	0.9409763	Multiple_Complex	Multiple_Complex
TC0800007305.hg.1	6.96e-05	4.43e-07	-11.7566181	7.029162	-1.74192427	Coding	Coding
TC2200009271.hg.1	7.01e-05	4.49e-07	-11.7395329	7.015701	-1.00670986	Multiple_Complex	Multiple_Complex
23076531	7.03e-05	4.53e-07	-11.7287149	7.007168	-2.18776682		
TC0100014958.hg.1	7.10e-05	4.60e-07	-11.7096829	6.992135	-1.42834374	Multiple_Complex	Multiple_Complex
TC1700011919.hg.1	7.10e-05	4.62e-07	-11.7018191	6.985917	-1.43520838	Multiple_Complex	Multiple_Complex
TC1500008154.hg.1	7.24e-05	4.75e-07	11.6678913	6.95904	1.36288076	Multiple_Complex	Multiple_Complex
TC0200014672.hg.1	7.24e-05	4.77e-07	11.6612105	6.953738	2.10595322	Multiple_Complex	Multiple_Complex
TC1700012191.hg.1	7.24e-05	4.79e-07	-11.6561532	6.949722	-1.28552733	Coding	Coding
TC0800010918.hg.1	7.36e-05	4.91e-07	11.6252855	6.925175	2.27315586	Multiple_Complex	Multiple_Complex
TC2200008641.hg.1	7.36e-05	4.93e-07	-11.6209663	6.921735	-1.15423273	Multiple_Complex	Multiple_Complex
TC1400010261.hg.1	7.40e-05	4.98e-07	-11.6078522	6.911283	-1.80128541	Multiple_Complex	Multiple_Complex
23076378	7.90e-05	5.34e-07	-11.5181417	6.839458	-1.83529715		
TC1200008873.hg.1	8.01e-05	5.45e-07	-11.4933239	6.819489	-1.11819788	Multiple_Complex	Multiple_Complex
TC1800008862.hg.1	8.21e-05	5.62e-07	11.4550559	6.788612	1.84523478	Multiple_Complex	Multiple_Complex
TC1200009800.hg.1	8.33e-05	5.73e-07	-11.4310333	6.769177	-3.59744252	Multiple_Complex	Multiple_Complex
TC1900008564.hg.1	8.35e-05	5.78e-07	-11.4206366	6.760752	-1.85107031	Multiple_Complex	Multiple_Complex
23070233	8.64e-05	6.00e-07	11.3724664	6.721621	1.63838881		
TC0700012684.hg.1	9.02e-05	6.32e-07	11.3079493	6.66895	0.93298563	Multiple_Complex	Multiple_Complex
TC0900012231.hg.1	9.02e-05	6.34e-07	-11.3053884	6.666853	-1.10817927	Multiple_Complex	Multiple_Complex
TC2200009274.hg.1	9.28e-05	6.55e-07	-11.2636775	6.632634	-3.43037981	Multiple_Complex	Multiple_Complex
TC1900007502.hg.1	9.44e-05	6.71e-07	11.2350032	6.609036	2.28663985	Multiple_Complex	Multiple_Complex
TC1000009880.hg.1	9.44e-05	6.73e-07	-11.2303396	6.605193	-1.08190946	Multiple_Complex	Multiple_Complex
TC1800006635.hg.1	9.65e-05	6.93e-07	-11.194822	6.575869	-1.03141852	Multiple_Complex	Multiple_Complex
TC1000009536.hg.1	9.65e-05	6.96e-07	11.1899205	6.571815	1.05097392	Multiple_Complex	Multiple_Complex
TC0600014328.hg.1	9.84e-05	7.16e-07	-11.1548725	6.542775	-1.18407856	Multiple_Complex	Multiple_Complex
TC1200012752.hg.1	9.84e-05	7.20e-07	11.147897	6.536985	2.97723806	Coding	Coding
TC0300012598.hg.1	9.84e-05	7.20e-07	11.1478458	6.536942	1.47236573	Multiple_Complex	Multiple_Complex
TC0500007761.hg.1	9.99e-05	7.35e-07	-11.1232824	6.516523	-1.39096946	Coding	Coding
TC1900011759.hg.1	1.03e-04	7.61e-07	-11.0799673	6.480408	-1.52851475	Multiple_Complex	Multiple_Complex
TC0900010386.hg.1	1.03e-04	7.63e-07	-11.0768343	6.477791	-1.28688346	Multiple_Complex	Multiple_Complex
TC1000011168.hg.1	1.07e-04	7.95e-07	-11.0268081	6.435894	-1.38107331	Coding	Coding
TC0300013736.hg.1	1.07e-04	8.02e-07	-11.0167712	6.427466	-0.91022235	Multiple_Complex	Multiple_Complex
TC1200007120.hg.1	1.07e-04	8.05e-07	-11.0127495	6.424087	-1.71721885	Multiple_Complex	Multiple_Complex
TC1500008470.hg.1	1.07e-04	8.08e-07	11.0076562	6.419806	1.95857989	Coding	Coding
TC1100013129.hg.1	1.07e-04	8.17e-07	-10.9942586	6.408535	-0.93828429	Multiple_Complex	Multiple_Complex
TC0800011601.hg.1	1.09e-04	8.30e-07	10.9750754	6.392373	1.56430093	Multiple_Complex	Multiple_Complex
TC0700010257.hg.1	1.09e-04	8.34e-07	10.9688859	6.387152	1.15338065	Multiple_Complex	Multiple_Complex
TC1900010651.hg.1	1.09e-04	8.44e-07	-10.9554291	6.375792	-1.60312026	Multiple_Complex	Multiple_Complex
TC1900011734.hg.1	1.10e-04	8.53e-07	-10.9427269	6.365056	-4.01680891	Multiple_Complex	Multiple_Complex
TC0300013336.hg.1	1.10e-04	8.59e-07	-10.9336389	6.357367	-1.23265827	Multiple_Complex	Multiple_Complex
TC1100012037.hg.1	1.11e-04	8.73e-07	-10.9145713	6.341216	-1.09436653	Multiple_Complex	Multiple_Complex
TC0200011097.hg.1	1.16e-04	9.12e-07	-10.8619778	6.296521	-3.8984199	Coding	Coding
TC1700008984.hg.1	1.16e-04	9.20e-07	-10.8515185	6.287608	-1.01141158	Multiple_Complex	Multiple_Complex
TC1100011602.hg.1	1.18e-04	9.39e-07	-10.8274395	6.267056	-1.70893728	Multiple_Complex	Multiple_Complex
TC1200006896.hg.1	1.18e-04	9.42e-07	-10.8228482	6.263132	-1.22581163	Multiple_Complex	Multiple_Complex
TC1800006852.hg.1	1.18e-04	9.43e-07	-10.8220332	6.262435	-1.06964485	Coding	Coding
TC0600009459.hg.1	1.19e-04	9.61e-07	10.7997336	6.243353	0.92726349	Multiple_Complex	Multiple_Complex
TC0900007807.hg.1	1.21e-04	9.78e-07	10.7783123	6.224986	1.39545491	Multiple_Complex	Multiple_Complex
TC0900009003.hg.1	1.22e-04	9.93e-07	10.7611387	6.210236	1.97959349	Multiple_Complex	Multiple_Complex
TC0X00010675.hg.1	1.25e-04	1.02e-06	-10.7279572	6.181671	-1.26896876	Multiple_Complex	Multiple_Complex
TC1100007400.hg.1	1.26e-04	1.04e-06	-10.7112739	6.167277	-1.50321386	Multiple_Complex	Multiple_Complex
TC2100008297.hg.1	1.26e-04	1.04e-06	-10.7056747	6.162441	-1.16304062	Multiple_Complex	Multiple_Complex
TC0500011896.hg.1	1.32e-04	1.09e-06	10.6510465	6.115132	2.04729132	Multiple_Complex	Multiple_Complex
TC0500007804.hg.1	1.32e-04	1.09e-06	10.6452439	6.110093	0.83528058	Multiple_Complex	Multiple_Complex
TC1700010504.hg.1	1.33e-04	1.11e-06	10.6254938	6.092923	2.23453747	Multiple_Complex	Multiple_Complex
TC0200007237.hg.1	1.38e-04	1.16e-06	-10.5777127	6.051255	-1.4265681	Multiple_Complex	Multiple_Complex
TC0800008120.hg.1	1.38e-04	1.16e-06	10.5754595	6.049286	1.28957824	Multiple_Complex	Multiple_Complex
TC0300007579.hg.1	1.38e-04	1.17e-06	-10.5680205	6.042781	-1.03826017	Coding	Coding
